iShares World ex U.S. Carbon Transition Readiness Aware Active ETF
Fund Holdings as of,"Dec 31, 2025"
Inception Date,"Apr 06, 2021"
Shares Outstanding,"4,125,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"6586","MAKITA CORP","Industrials","Equity","54,397.91","0.02","54,397.91","1,800.00","30.22","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"8601","DAIWA SECURITIES GROUP INC","Financials","Equity","52,461.00","0.02","52,461.00","6,000.00","8.74","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","51,542.52","0.02","51,542.52","43,887.00","117.45","European Union","-","USD","0.85","EUR","-"
"3","HONG KONG AND CHINA GAS LTD","Utilities","Equity","48,633.65","0.02","48,633.65","54,000.00","0.90","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"AUD","AUD CASH","Cash and/or Derivatives","Cash","47,841.90","0.02","47,841.90","71,743.00","66.68","Australia","-","USD","1.50","AUD","-"
"FORTUM","FORTUM","Utilities","Equity","45,991.13","0.02","45,991.13","2,154.00","21.35","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.85","EUR","-"
"LYC","LYNAS RARE EARTHS LTD","Materials","Equity","45,393.60","0.02","45,393.60","5,472.00","8.30","Australia","Asx - All Markets","USD","1.50","AUD","-"
"6098","RECRUIT HOLDINGS LTD","Industrials","Equity","45,153.59","0.02","45,153.59","800.00","56.44","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"WOW","WOOLWORTHS GROUP LTD","Consumer Staples","Equity","44,944.17","0.02","44,944.17","2,294.00","19.59","Australia","Asx - All Markets","USD","1.50","AUD","-"
"GFL","GFL ENVIRONMENTAL SUBORDINATE VOTI","Industrials","Equity","42,840.90","0.02","42,840.90","996.00","43.01","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"MNG","M&G PLC","Financials","Equity","42,655.67","0.02","42,655.67","11,073.00","3.85","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"INPST","INPOST SA","Industrials","Equity","41,881.85","0.02","41,881.85","3,406.00","12.30","Netherlands","Euronext Amsterdam","USD","0.85","EUR","-"
"CSL","CSL LTD","Health Care","Equity","41,447.39","0.02","41,447.39","360.00","115.13","Australia","Asx - All Markets","USD","1.50","AUD","-"
"FDJU","FDJ UNITED","Consumer Discretionary","Equity","41,388.84","0.02","41,388.84","1,492.00","27.74","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"NG.","NATIONAL GRID PLC","Utilities","Equity","39,489.83","0.02","39,489.83","2,572.00","15.35","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","33,943.95","0.02","33,943.95","25,236.00","134.50","United Kingdom","-","USD","0.74","GBP","-"
"GFC","GECINA SA","Real Estate","Equity","33,919.64","0.01","33,919.64","357.00","95.01","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"7012","KAWASAKI HEAVY INDUSTRIES LTD","Industrials","Equity","33,111.10","0.01","33,111.10","500.00","66.22","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"TEF","TELEFONICA SA","Communication","Equity","31,986.05","0.01","31,986.05","7,797.00","4.10","Spain","Bolsa De Madrid","USD","0.85","EUR","-"
"BCE","BCE INC","Communication","Equity","31,910.01","0.01","31,910.01","1,336.00","23.88","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"DG","VINCI SA","Industrials","Equity","31,441.38","0.01","31,441.38","223.00","140.99","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"5401","NIPPON STEEL CORP","Materials","Equity","29,890.20","0.01","29,890.20","7,300.00","4.09","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"COH","COCHLEAR LTD","Health Care","Equity","28,854.31","0.01","28,854.31","166.00","173.82","Australia","Asx - All Markets","USD","1.50","AUD","-"
"9024","SEIBU HOLDINGS INC","Industrials","Equity","27,458.61","0.01","27,458.61","1,000.00","27.46","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"ABI","ANHEUSER-BUSCH INBEV SA","Consumer Staples","Equity","26,564.65","0.01","26,564.65","412.00","64.48","Belgium","Nyse Euronext - Euronext Brussels","USD","0.85","EUR","-"
"NICE","NICE LTD","Information Technology","Equity","20,168.18","0.01","20,168.18","180.00","112.05","Israel","Tel Aviv Stock Exchange","USD","3.19","ILS","-"
"SGD","SGD CASH","Cash and/or Derivatives","Cash","19,525.48","0.01","19,525.48","25,110.00","77.76","Singapore","-","USD","1.29","SGD","-"
"NZD","NZD CASH","Cash and/or Derivatives","Cash","14,324.50","0.01","14,324.50","24,910.00","57.50","New Zealand","-","USD","1.74","NZD","-"
"HKD","HKD CASH","Cash and/or Derivatives","Cash","4,289.22","0.00","4,289.22","33,385.00","12.85","Hong Kong","-","USD","7.78","HKD","-"
"ILS","ILS CASH","Cash and/or Derivatives","Cash","2,939.23","0.00","2,939.23","9,368.00","31.38","Israel","-","USD","3.19","ILS","-"
"DKK","DKK CASH","Cash and/or Derivatives","Cash","2,265.01","0.00","2,265.01","14,405.00","15.72","Denmark","-","USD","6.36","DKK","-"
"SEK","SEK CASH","Cash and/or Derivatives","Cash","2,265.88","0.00","2,265.88","20,889.00","10.85","Sweden","-","USD","9.22","SEK","-"
"CHF","CHF CASH","Cash and/or Derivatives","Cash","1,179.36","0.00","1,179.36","934.00","126.22","Switzerland","-","USD","0.79","CHF","-"
"NOK","NOK CASH","Cash and/or Derivatives","Cash","353.08","0.00","353.08","3,562.00","9.91","Norway","-","USD","10.09","NOK","-"
"MFSH6","MSCI EAFE INDEX MAR 26","Cash and/or Derivatives","Futures","0.00","0.00","2,321,680.00","16.00","2,902.10","-","Ice Futures U.S.","USD","1.00","USD","-"
"ETD_USD","ETD USD BALANCE WITH R97871","Cash and/or Derivatives","Cash","-12,960.00","-0.01","-12,960.00","-12,960.00","100.00","United States","-","USD","1.00","USD","Jan 01, 2000"
 
"The content contained herein is owned or licensed by BlackRock and/or its third-party information providers and is protected by applicable copyrights, trademarks, service marks, and/or other intellectual property rights. Such content is solely for your personal, non-commercial use. Accordingly, you may not copy, distribute, modify, post, frame or deep link this content. You may download material displayed on this Website for your personal use provided you also retain all copyright and other proprietary notices contained on the materials. Modification or use of the materials for any other purpose violates BlackRock's intellectual property rights.
Holdings subject to change. See www.iShares.com for the most recent funds holdings.
The values for “price” shown herein generally represent a price provided by a third-party pricing vendor for the portfolio holding and do not reflect the impact of systematic fair valuation (“the vendor price”). The vendor price is not necessarily the price at which the Fund values the portfolio holding for the purposes of determining its net asset value (the “valuation price”). Additionally, where applicable, foreign currency exchange rates with respect to the portfolio holdings denominated in non-U.S. currencies for the valuation price will be generally determined as of the close of business on the New York Stock Exchange, whereas for the vendor price will be generally determined as of 4 p.m. London. The values shown herein for “market value,” “weight,” and “notional value” (the “calculated values”) are based off of the vendor price and may have been different if the valuation price were to have been used to calculate such values. The vendor price is as of the most recent practicable date and may not necessarily be as of the date shown above.
Please see the “Determination of Net Asset Value” section of each Fund’s prospectus for additional information on the Fund’s valuation policies and procedures.
CAREFULLY CONSIDER THE FUNDS' INVESTMENT OBJECTIVES, RISK FACTORS, AND CHARGES AND EXPENSES BEFORE INVESTING. THIS AND OTHER INFORMATION CAN BE FOUND IN THE FUNDS' PROSPECTUSES OR, IF AVAILABLE, THE SUMMARY PROSPECTUSES WHICH MAY BE OBTAINED BY VISITING WWW.ISHARES.COM OR WWW.BLACKROCK.COM. READ THE PROSPECTUS CAREFULLY BEFORE INVESTING. INVESTING INVOLVES RISK, INCLUDING POSSIBLE LOSS OF PRINCIPAL.
This information should not be relied upon as research, investment advice, or a recommendation regarding any products, strategies, or any security in particular.
This material is strictly for illustrative, educational, or informational purposes and is subject to change.
The Funds are distributed by BlackRock Investments, LLC (together with its affiliates, “BlackRock”).
The iShares Funds are not sponsored, endorsed, issued, sold or promoted by Bloomberg, BlackRock Index Services, LLC, Cboe Global Indices, LLC, Cohen & Steers, European Public Real Estate Association (“EPRA® ”), FTSE International Limited (“FTSE”), ICE Data Indices, LLC, NSE Indices Ltd, JPMorgan, JPX Group, London Stock Exchange Group (“LSEG”), MSCI Inc., Markit Indices Limited, Morningstar, Inc., Nasdaq, Inc., National Association of Real Estate Investment Trusts (“NAREIT”), Nikkei, Inc., Russell, S&P Dow Jones Indices LLC or STOXX Ltd. None of these companies make any representation regarding the advisability of investing in the Funds. With the exception of BlackRock Index Services, LLC, who is an affiliate, BlackRock Investments, LLC is not affiliated with the companies listed above. Neither FTSE, LSEG, nor NAREIT makes any warranty regarding the FTSE Nareit Equity REITS Index, FTSE Nareit All Residential Capped Index or FTSE Nareit All Mortgage Capped Index. Neither FTSE, EPRA, LSEG, nor NAREIT makes any warranty regarding the FTSE EPRA Nareit Developed ex-U.S. Index, FTSE EPRA Nareit Developed Green Target Index or FTSE EPRA Nareit Global REITs Index. “FTSE®” is a trademark of London Stock Exchange Group companies and is used by FTSE under license.
©2023 BlackRock, Inc or its affiliates. All rights reserved. iSHARES, iBONDS and BLACKROCK are trademarks of BlackRock, Inc. or its affiliates. All other trademarks are those of their respective owners."
