iShares World ex U.S. Carbon Transition Readiness Aware Active ETF
Fund Holdings as of,"Dec 31, 2025"
Inception Date,"Apr 06, 2021"
Shares Outstanding,"4,125,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"6857","ADVANTEST CORP","Information Technology","Equity","1,478,152.41","0.65","1,478,152.41","11,800.00","125.27","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","Information Technology","Equity","1,474,730.62","0.65","1,474,730.62","9,147.00","161.23","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"1925","DAIWA HOUSE INDUSTRY LTD","Real Estate","Equity","1,472,399.12","0.65","1,472,399.12","44,400.00","33.16","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"EDP","EDP ENERGIAS DE PORTUGAL SA","Utilities","Equity","1,465,649.48","0.65","1,465,649.48","318,760.00","4.60","Portugal","Nyse Euronext - Euronext Lisbon","USD","0.85","EUR","-"
"OR","LOREAL SA","Consumer Staples","Equity","1,456,131.50","0.64","1,456,131.50","3,382.00","430.55","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"SLHN","SWISS LIFE HOLDING AG","Financials","Equity","1,453,456.36","0.64","1,453,456.36","1,256.00","1,157.21","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"4452","KAO CORP","Consumer Staples","Equity","1,422,001.34","0.63","1,422,001.34","35,600.00","39.94","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","1,420,000.00","0.63","1,420,000.00","1,420,000.00","1.00","United States","-","USD","1.00","USD","-"
"GIVN","GIVAUDAN SA","Materials","Equity","1,409,693.91","0.62","1,409,693.91","355.00","3,970.97","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"LLOY","LLOYDS BANKING GROUP PLC","Financials","Equity","1,396,719.40","0.62","1,396,719.40","1,057,018.00","1.32","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"PAAS","PAN AMERICAN SILVER CORP","Materials","Equity","1,309,977.34","0.58","1,309,977.34","25,234.00","51.91","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"4503","ASTELLAS PHARMA INC","Health Care","Equity","1,299,236.98","0.57","1,299,236.98","97,300.00","13.35","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"8035","TOKYO ELECTRON LTD","Information Technology","Equity","1,291,830.68","0.57","1,291,830.68","5,900.00","218.95","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"T","TELUS CORP","Communication","Equity","1,281,272.17","0.57","1,281,272.17","97,087.00","13.20","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"MFC","MANULIFE FINANCIAL CORP","Financials","Equity","1,236,882.82","0.55","1,236,882.82","34,018.00","36.36","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"RMS","HERMES INTERNATIONAL","Consumer Discretionary","Equity","1,236,122.72","0.55","1,236,122.72","496.00","2,492.19","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","1,231,424.85","0.54","1,231,424.85","24,078.00","51.14","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.36","DKK","-"
"5713","SUMITOMO METAL MINING LTD","Materials","Equity","1,228,856.42","0.54","1,228,856.42","30,300.00","40.56","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"BP.","BP PLC","Energy","Equity","1,213,949.08","0.54","1,213,949.08","208,533.00","5.82","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"ERIC B","ERICSSON B","Information Technology","Equity","1,203,525.10","0.53","1,203,525.10","122,462.00","9.83","Sweden","Nasdaq Omx Nordic","USD","9.22","SEK","Jan 01, 1998"
"6326","KUBOTA CORP","Industrials","Equity","1,194,897.76","0.53","1,194,897.76","84,500.00","14.14","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"BMW","BMW AG","Consumer Discretionary","Equity","1,116,963.66","0.49","1,116,963.66","10,211.00","109.39","Germany","Xetra","USD","0.85","EUR","-"
"KPN","KONINKLIJKE KPN NV","Communication","Equity","1,094,991.61","0.48","1,094,991.61","234,493.00","4.67","Netherlands","Euronext Amsterdam","USD","0.85","EUR","-"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Equity","1,093,836.54","0.48","1,093,836.54","1,440.00","759.61","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"6758","SONY GROUP CORP","Consumer Discretionary","Equity","1,093,638.71","0.48","1,093,638.71","42,600.00","25.67","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"3402","TORAY INDUSTRIES INC","Materials","Equity","1,075,670.68","0.48","1,075,670.68","165,300.00","6.51","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","1,068,387.51","0.47","1,068,387.51","49,900.00","21.41","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financials","Equity","1,048,127.21","0.46","1,048,127.21","65,900.00","15.90","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"REL","RELX PLC","Industrials","Equity","1,046,059.37","0.46","1,046,059.37","25,752.00","40.62","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"ADM","ADMIRAL GROUP PLC","Financials","Equity","1,043,491.83","0.46","1,043,491.83","24,427.00","42.72","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"PRX","PROSUS NV CLASS N","Consumer Discretionary","Equity","1,021,915.25","0.45","1,021,915.25","16,464.00","62.07","Netherlands","Euronext Amsterdam","USD","0.85","EUR","-"
"NWG","NATWEST GROUP PLC","Financials","Equity","1,015,459.47","0.45","1,015,459.47","115,827.00","8.77","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"PHIA","KONINKLIJKE PHILIPS NV","Health Care","Equity","1,006,992.88","0.45","1,006,992.88","36,894.00","27.29","Netherlands","Euronext Amsterdam","USD","0.85","EUR","-"
"BARC","BARCLAYS PLC","Financials","Equity","1,004,853.12","0.44","1,004,853.12","156,965.00","6.40","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"GEBN","GEBERIT AG","Industrials","Equity","962,736.01","0.43","962,736.01","1,231.00","782.08","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"9984","SOFTBANK GROUP CORP","Communication","Equity","954,416.41","0.42","954,416.41","34,000.00","28.07","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"SOON","SONOVA HOLDING AG","Health Care","Equity","933,747.18","0.41","933,747.18","3,572.00","261.41","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"DSY","DASSAULT SYSTEMES","Information Technology","Equity","932,782.95","0.41","932,782.95","33,315.00","28.00","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"D05","DBS GROUP HOLDINGS LTD","Financials","Equity","914,644.79","0.40","914,644.79","20,870.00","43.83","Singapore","Singapore Exchange","USD","1.29","SGD","Jan 01, 1998"
"4307","NOMURA RESEARCH INSTITUTE LTD","Information Technology","Equity","910,381.19","0.40","910,381.19","23,700.00","38.41","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"STN","STANTEC INC","Industrials","Equity","906,332.91","0.40","906,332.91","9,592.00","94.49","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"6902","DENSO CORP","Consumer Discretionary","Equity","905,907.05","0.40","905,907.05","65,800.00","13.77","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"7011","MITSUBISHI HEAVY INDUSTRIES LTD","Industrials","Equity","899,090.88","0.40","899,090.88","36,700.00","24.50","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"8031","MITSUI LTD","Industrials","Equity","894,565.06","0.40","894,565.06","30,200.00","29.62","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"LSEG","LONDON STOCK EXCHANGE GROUP PLC","Financials","Equity","874,288.85","0.39","874,288.85","7,261.00","120.41","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"VOW3","VOLKSWAGEN NON-VOTING PREF AG","Consumer Discretionary","Equity","866,015.41","0.38","866,015.41","7,121.00","121.61","Germany","Xetra","USD","0.85","EUR","Jan 02, 1990"
